,gene,module,color
CLIP3,CLIP3,2,blue
CLIP4,CLIP4,0,grey
CLK1,CLK1,0,grey
CLK2,CLK2,1,turquoise
CLK3,CLK3,0,grey
CLK4,CLK4,0,grey
CLMN,CLMN,0,grey
CLN3,CLN3,0,grey
CLN5,CLN5,0,grey
CLN6,CLN6,0,grey
CLN8,CLN8,1,turquoise
CLNS1A,CLNS1A,11,greenyellow
CLOCK,CLOCK,1,turquoise
CLP1,CLP1,0,grey
CLPB,CLPB,1,turquoise
CLPP,CLPP,0,grey
CLPS,CLPS,5,green
CLPTM1,CLPTM1,0,grey
CLPX,CLPX,0,grey
CLSPN,CLSPN,0,grey
CLSTN1,CLSTN1,1,turquoise
CLSTN2,CLSTN2,0,grey
CLSTN3,CLSTN3,0,grey
CLTA,CLTA,0,grey
CLTB,CLTB,1,turquoise
CLTC,CLTC,1,turquoise
CLTC-IT1,CLTC-IT1,0,grey
CLTCL1,CLTCL1,0,grey
CLU,CLU,2,blue
CLUAP1,CLUAP1,1,turquoise
CLUH,CLUH,0,grey
CLUHP3,CLUHP3,0,grey
CLUL1,CLUL1,0,grey
CMA1,CMA1,2,blue
CMAHP,CMAHP,0,grey
CMAS,CMAS,1,turquoise
CMC2,CMC2,1,turquoise
CMC4,CMC4,13,salmon
CMC4 /// MTCP1,CMC4 /// MTCP1,0,grey
CMKLR1,CMKLR1,3,brown
CMPK1,CMPK1,1,turquoise
CMTM6,CMTM6,0,grey
CMTR1,CMTR1,1,turquoise
CNBP,CNBP,1,turquoise
CNDP2,CNDP2,0,grey
CNGA1,CNGA1,1,turquoise
CNGA3,CNGA3,1,turquoise
CNGB1,CNGB1,0,grey
CNGB3,CNGB3,0,grey
CNIH1,CNIH1,1,turquoise
CNIH3,CNIH3,0,grey
CNIH4,CNIH4,1,turquoise
CNKSR1,CNKSR1,1,turquoise
CNKSR2,CNKSR2,0,grey
CNN1,CNN1,2,blue
CNN2,CNN2,0,grey
CNN3,CNN3,1,turquoise
CNN3P1 /// CNN3P1,CNN3P1 /// CNN3P1,0,grey
CNNM1,CNNM1,1,turquoise
CNNM2,CNNM2,0,grey
CNNM3,CNNM3,1,turquoise
CNNM4,CNNM4,1,turquoise
CNOT1,CNOT1,1,turquoise
CNOT2,CNOT2,0,grey
CNOT3,CNOT3,4,yellow
CNOT4,CNOT4,0,grey
CNOT6,CNOT6,0,grey
CNOT7,CNOT7,0,grey
CNOT8,CNOT8,1,turquoise
CNP,CNP,0,grey
CNPPD1,CNPPD1,1,turquoise
CNPY2,CNPY2,1,turquoise
CNPY3,CNPY3,1,turquoise
CNPY4,CNPY4,0,grey
CNR1,CNR1,3,brown
CNR2,CNR2,0,grey
CNTD2,CNTD2,0,grey
CNTF,CNTF,0,grey
CNTFR,CNTFR,0,grey
CNTLN,CNTLN,0,grey
CNTN1,CNTN1,0,grey
CNTN2,CNTN2,0,grey
CNTN5,CNTN5,0,grey
CNTN6,CNTN6,0,grey
CNTNAP1,CNTNAP1,0,grey
CNTNAP2,CNTNAP2,1,turquoise
CNTNAP3P2,CNTNAP3P2,0,grey
CNTRL,CNTRL,1,turquoise
COA1,COA1,1,turquoise
COA3,COA3,1,turquoise
COA4,COA4,11,greenyellow
COA7,COA7,2,blue
COASY,COASY,1,turquoise
COBL,COBL,1,turquoise
COBLL1,COBLL1,1,turquoise
COCH,COCH,1,turquoise
COG2,COG2,1,turquoise
COG4,COG4,0,grey
COG5,COG5,0,grey
COG7,COG7,0,grey
COG8 /// PDF,COG8 /// PDF,1,turquoise
COIL,COIL,1,turquoise
COL10A1,COL10A1,1,turquoise
COL11A1,COL11A1,1,turquoise
COL11A2,COL11A2,0,grey
COL13A1,COL13A1,2,blue
COL14A1,COL14A1,2,blue
COL15A1,COL15A1,0,grey
COL16A1,COL16A1,1,turquoise
COL17A1,COL17A1,1,turquoise
COL18A1,COL18A1,1,turquoise
COL19A1,COL19A1,0,grey
COL1A1,COL1A1,1,turquoise
COL1A2,COL1A2,1,turquoise
COL21A1,COL21A1,0,grey
COL2A1,COL2A1,5,green
COL3A1,COL3A1,1,turquoise
COL4A1,COL4A1,1,turquoise
COL4A2,COL4A2,1,turquoise
COL4A3,COL4A3,1,turquoise
COL4A3BP,COL4A3BP,1,turquoise
COL4A4,COL4A4,0,grey
COL4A5,COL4A5,1,turquoise
COL4A6,COL4A6,0,grey
COL5A1,COL5A1,1,turquoise
COL5A2,COL5A2,1,turquoise
COL5A3,COL5A3,2,blue
COL6A1,COL6A1,8,pink
COL6A2,COL6A2,8,pink
COL6A3,COL6A3,1,turquoise
COL7A1,COL7A1,1,turquoise
COL8A1,COL8A1,0,grey
COL8A2,COL8A2,0,grey
COL9A1,COL9A1,0,grey
COL9A2,COL9A2,1,turquoise
COL9A3,COL9A3,1,turquoise
COLEC10,COLEC10,0,grey
COLEC11,COLEC11,0,grey
COLEC12,COLEC12,0,grey
COLGALT1,COLGALT1,1,turquoise
COLGALT2,COLGALT2,0,grey
COLQ,COLQ,0,grey
COMMD10,COMMD10,0,grey
COMMD3,COMMD3,0,grey
COMMD4,COMMD4,1,turquoise
COMMD8,COMMD8,1,turquoise
COMMD9,COMMD9,0,grey
COMP,COMP,0,grey
COMT,COMT,0,grey
COPA,COPA,1,turquoise
COPB1,COPB1,0,grey
COPB2,COPB2,1,turquoise
COPE,COPE,0,grey
COPG1,COPG1,1,turquoise
COPG2IT1,COPG2IT1,0,grey
COPS2,COPS2,0,grey
COPS3,COPS3,0,grey
COPS4,COPS4,1,turquoise
COPS5,COPS5,10,purple
COPS6,COPS6,0,grey
COPS7A,COPS7A,0,grey
COPS7B,COPS7B,0,grey
COPS8,COPS8,1,turquoise
COPZ1,COPZ1,0,grey
COPZ2,COPZ2,1,turquoise
COQ10B,COQ10B,0,grey
COQ2,COQ2,0,grey
COQ3,COQ3,0,grey
COQ4,COQ4,1,turquoise
COQ6,COQ6,0,grey
COQ7,COQ7,0,grey
COQ9,COQ9,1,turquoise
CORIN,CORIN,0,grey
CORO1A,CORO1A,6,red
CORO1B,CORO1B,0,grey
CORO1C,CORO1C,1,turquoise
CORO2A,CORO2A,0,grey
CORO2B,CORO2B,2,blue
CORO7,CORO7,1,turquoise
CORT,CORT,0,grey
COTL1,COTL1,1,turquoise
COX10,COX10,0,grey
COX11,COX11,0,grey
COX15,COX15,0,grey
COX16 /// SYNJ2BP-COX16,COX16 /// SYNJ2BP-COX16,1,turquoise
COX17 /// POPDC2,COX17 /// POPDC2,1,turquoise
COX20,COX20,0,grey
COX4I1,COX4I1,0,grey
COX5A,COX5A,1,turquoise
COX5B,COX5B,1,turquoise
COX6A1,COX6A1,0,grey
COX6A2,COX6A2,0,grey
COX6B1,COX6B1,0,grey
COX6B1P3 /// COX6B1P3,COX6B1P3 /// COX6B1P3,1,turquoise
COX6C,COX6C,10,purple
COX6CP1 /// COX6CP1,COX6CP1 /// COX6CP1,0,grey
COX6CP2 /// COX6CP2,COX6CP2 /// COX6CP2,0,grey
COX7A1,COX7A1,1,turquoise
COX7A2,COX7A2,0,grey
COX7A2L,COX7A2L,1,turquoise
COX7A2P2 /// COX7A2P2,COX7A2P2 /// COX7A2P2,0,grey
COX7B,COX7B,1,turquoise
COX7BP1 /// COX7BP1,COX7BP1 /// COX7BP1,0,grey
COX7C,COX7C,1,turquoise
COX8A,COX8A,0,grey
CP,CP,0,grey
CPA1,CPA1,5,green
CPA2,CPA2,5,green
CPA3,CPA3,0,grey
CPA4,CPA4,1,turquoise
CPB1,CPB1,5,green
CPB2,CPB2,0,grey
CPD,CPD,0,grey
CPE,CPE,2,blue
CPEB1,CPEB1,1,turquoise
CPEB3,CPEB3,1,turquoise
CPED1,CPED1,2,blue
CPLX2,CPLX2,0,grey
CPLX3,CPLX3,0,grey
CPM,CPM,0,grey
CPN1,CPN1,0,grey
CPN2,CPN2,0,grey
CPNE1,CPNE1,1,turquoise
CPNE3,CPNE3,1,turquoise
CPNE6,CPNE6,0,grey
CPNE7,CPNE7,0,grey
CPOX,CPOX,1,turquoise
CPPED1,CPPED1,1,turquoise
CPQ,CPQ,2,blue
CPS1,CPS1,0,grey
CPS1-IT1,CPS1-IT1,0,grey
CPSF1,CPSF1,0,grey
CPSF1 /// MIR1234 /// MIR6849 /// MIR939,CPSF1 /// MIR1234 /// MIR6849 /// MIR939,1,turquoise
CPSF3L /// MIR6727,CPSF3L /// MIR6727,0,grey
CPSF4,CPSF4,1,turquoise
CPSF6,CPSF6,1,turquoise
CPSF7,CPSF7,1,turquoise
CPT1A,CPT1A,0,grey
CPT2,CPT2,1,turquoise
CPTP,CPTP,1,turquoise
CPVL,CPVL,0,grey
CPZ /// GPR78,CPZ /// GPR78,0,grey
CR1,CR1,0,grey
CR2,CR2,6,red
CRABP1,CRABP1,0,grey
CRABP2,CRABP2,1,turquoise
CRADD,CRADD,1,turquoise
CRAT,CRAT,1,turquoise
CRB1,CRB1,0,grey
CRBN,CRBN,1,turquoise
CRCP,CRCP,1,turquoise
CRCT1,CRCT1,1,turquoise
CREB1,CREB1,0,grey
CREB3,CREB3,0,grey
CREB3L1,CREB3L1,0,grey
CREB3L2,CREB3L2,1,turquoise
CREB5 /// LOC401317,CREB5 /// LOC401317,0,grey
CREBBP,CREBBP,0,grey
CREBL2,CREBL2,0,grey
CREBZF,CREBZF,11,greenyellow
CREG1,CREG1,0,grey
CRELD1,CRELD1,1,turquoise
CRELD2,CRELD2,0,grey
CREM,CREM,0,grey
CRH,CRH,0,grey
CRHBP,CRHBP,0,grey
CRHR1,CRHR1,0,grey
CRHR2,CRHR2,0,grey
CRIM1 /// LOC101929500,CRIM1 /// LOC101929500,8,pink
CRIP1,CRIP1,0,grey
CRIP2,CRIP2,1,turquoise
CRIPT,CRIPT,0,grey
CRISP1,CRISP1,0,grey
CRISP2,CRISP2,1,turquoise
CRISP3,CRISP3,1,turquoise
CRISPLD2,CRISPLD2,0,grey
CRK,CRK,0,grey
CRKL,CRKL,0,grey
CRLF1,CRLF1,0,grey
CRLF2,CRLF2,0,grey
CRLF3,CRLF3,0,grey
CRMP1,CRMP1,1,turquoise
CRNKL1,CRNKL1,0,grey
CRNN,CRNN,1,turquoise
CROCC,CROCC,0,grey
CROCCP2,CROCCP2,1,turquoise
CROCCP3,CROCCP3,0,grey
CROT,CROT,1,turquoise
CRP,CRP,0,grey
CRTAC1,CRTAC1,1,turquoise
CRTAM,CRTAM,0,grey
CRTAP,CRTAP,0,grey
CRTC1,CRTC1,0,grey
CRTC3,CRTC3,0,grey
CRX,CRX,0,grey
CRY1,CRY1,1,turquoise
CRY2,CRY2,1,turquoise
CRYAA,CRYAA,0,grey
CRYAB,CRYAB,1,turquoise
CRYBA1,CRYBA1,0,grey
CRYBA2,CRYBA2,0,grey
CRYBA4,CRYBA4,0,grey
CRYBB1,CRYBB1,0,grey
CRYBB2,CRYBB2,0,grey
CRYBB2 /// CRYBB2P1,CRYBB2 /// CRYBB2P1,0,grey
CRYBB2P1,CRYBB2P1,0,grey
CRYBB3,CRYBB3,0,grey
CRYBG3,CRYBG3,1,turquoise
CRYGA,CRYGA,0,grey
CRYGB,CRYGB,0,grey
CRYGC,CRYGC,0,grey
CRYGD,CRYGD,0,grey
CRYGEP,CRYGEP,0,grey
CRYL1,CRYL1,1,turquoise
CRYM,CRYM,1,turquoise
CRYZ,CRYZ,0,grey
CRYZL1,CRYZL1,1,turquoise
CS,CS,1,turquoise
CSAD,CSAD,1,turquoise
CSAG2 /// CSAG3,CSAG2 /// CSAG3,0,grey
CSDC2,CSDC2,1,turquoise
CSDE1,CSDE1,1,turquoise
CSE1L,CSE1L,1,turquoise
CSF1,CSF1,0,grey
CSF1R,CSF1R,0,grey
CSF2,CSF2,0,grey
CSF2RA,CSF2RA,0,grey
CSF2RB,CSF2RB,0,grey
CSF3,CSF3,0,grey
CSF3R,CSF3R,0,grey
CSGALNACT1,CSGALNACT1,2,blue
CSGALNACT2,CSGALNACT2,1,turquoise
CSH1,CSH1,0,grey
CSH1 /// CSH2,CSH1 /// CSH2,0,grey
CSH1 /// CSH2 /// CSHL1 /// GH1,CSH1 /// CSH2 /// CSHL1 /// GH1,0,grey
CSH1 /// CSHL1 /// GH1,CSH1 /// CSHL1 /// GH1,0,grey
CSH1 /// CSHL1 /// GH1 /// GH2,CSH1 /// CSHL1 /// GH1 /// GH2,0,grey
CSHL1,CSHL1,4,yellow
CSK,CSK,1,turquoise
CSN1S1,CSN1S1,0,grey
CSN2,CSN2,0,grey
CSN3,CSN3,0,grey
CSNK1A1,CSNK1A1,0,grey
CSNK1D,CSNK1D,0,grey
CSNK1E,CSNK1E,0,grey
CSNK1E /// CSNK1E,CSNK1E /// CSNK1E,0,grey
CSNK1G1,CSNK1G1,0,grey
CSNK1G2,CSNK1G2,1,turquoise
CSNK1G3,CSNK1G3,0,grey
CSNK2A1,CSNK2A1,1,turquoise
CSNK2A2,CSNK2A2,1,turquoise
CSNK2B,CSNK2B,0,grey
CSPG4,CSPG4,0,grey
CSPG4P1Y,CSPG4P1Y,1,turquoise
CSPG5,CSPG5,0,grey
CSPP1,CSPP1,1,turquoise
CSRNP2,CSRNP2,0,grey
CSRNP3,CSRNP3,0,grey
CSRP1,CSRP1,2,blue
CSRP2,CSRP2,3,brown
CSRP3,CSRP3,0,grey
CST1,CST1,1,turquoise
CST2,CST2,1,turquoise
CST3,CST3,1,turquoise
CST4,CST4,1,turquoise
CST5,CST5,0,grey
CST6,CST6,1,turquoise
CST7,CST7,0,grey
CST8,CST8,0,grey
CSTA,CSTA,1,turquoise
CSTB,CSTB,1,turquoise
CSTF1,CSTF1,1,turquoise
CSTF2,CSTF2,0,grey
CSTF2T,CSTF2T,0,grey
CSTF3,CSTF3,1,turquoise
CT55,CT55,0,grey
CT62,CT62,0,grey
CTAG1A /// CTAG1B,CTAG1A /// CTAG1B,0,grey
CTAG2,CTAG2,0,grey
CTAGE1,CTAGE1,0,grey
CTAGE11P,CTAGE11P,0,grey
CTAGE15 /// CTAGE4 /// CTAGE8 /// CTAGE9,CTAGE15 /// CTAGE4 /// CTAGE8 /// CTAGE9,0,grey
CTAGE4 /// CTAGE8 /// CTAGE9,CTAGE4 /// CTAGE8 /// CTAGE9,0,grey
CTAGE5,CTAGE5,0,grey
CTB-102L5.7,CTB-102L5.7,0,grey
CTB-176F20.3,CTB-176F20.3,0,grey
CTBP1,CTBP1,0,grey
CTBP2,CTBP2,0,grey
CTBS,CTBS,1,turquoise
CTC-338M12.4,CTC-338M12.4,1,turquoise
CTC-425F1.4,CTC-425F1.4,0,grey
CTC-428G20.3,CTC-428G20.3,1,turquoise
CTC1,CTC1,0,grey
CTCF,CTCF,1,turquoise
CTD-2269F5.1,CTD-2269F5.1,0,grey
CTD-3126B10.1,CTD-3126B10.1,1,turquoise
CTDNEP1,CTDNEP1,0,grey
CTDP1,CTDP1,0,grey
CTDSP1,CTDSP1,1,turquoise
CTDSP2,CTDSP2,0,grey
CTDSPL,CTDSPL,1,turquoise
CTF1,CTF1,0,grey
CTGF,CTGF,0,grey
CTH,CTH,0,grey
CTIF,CTIF,1,turquoise
CTLA4,CTLA4,3,brown
CTNNA1,CTNNA1,1,turquoise
CTNNA2,CTNNA2,0,grey
CTNNA3,CTNNA3,0,grey
CTNNAL1,CTNNAL1,1,turquoise
CTNNAP1,CTNNAP1,0,grey
CTNNB1,CTNNB1,0,grey
CTNNBIP1,CTNNBIP1,1,turquoise
CTNNBL1,CTNNBL1,1,turquoise
CTNND1 /// TMX2-CTNND1,CTNND1 /// TMX2-CTNND1,1,turquoise
CTNND2,CTNND2,0,grey
CTNS,CTNS,1,turquoise
CTPS1,CTPS1,1,turquoise
CTPS2,CTPS2,0,grey
CTR9,CTR9,0,grey
CTRB1 /// CTRB2,CTRB1 /// CTRB2,5,green
CTRB2,CTRB2,5,green
CTRC,CTRC,5,green
CTRL,CTRL,0,grey
CTSA,CTSA,3,brown
CTSB,CTSB,1,turquoise
CTSC,CTSC,1,turquoise
CTSD,CTSD,3,brown
CTSE,CTSE,5,green
CTSF,CTSF,0,grey
CTSG,CTSG,1,turquoise
CTSH,CTSH,1,turquoise
CTSK,CTSK,1,turquoise
CTSL,CTSL,1,turquoise
CTSO,CTSO,0,grey
CTSS,CTSS,3,brown
CTSV,CTSV,0,grey
CTSW,CTSW,0,grey
CTSZ,CTSZ,1,turquoise
CTTN,CTTN,1,turquoise
CUBN,CUBN,0,grey
CUEDC1,CUEDC1,1,turquoise
CUEDC2,CUEDC2,0,grey
CUL1,CUL1,1,turquoise
CUL2,CUL2,0,grey
CUL3,CUL3,1,turquoise
CUL4A,CUL4A,0,grey
CUL4B,CUL4B,1,turquoise
CUL5,CUL5,0,grey
CUL7,CUL7,0,grey
CUL9,CUL9,0,grey
CUTA,CUTA,1,turquoise
CUTC,CUTC,0,grey
CUX1,CUX1,1,turquoise
CUX2,CUX2,0,grey
CUZD1,CUZD1,0,grey
CWC25,CWC25,0,grey
CWF19L1,CWF19L1,0,grey
CWH43,CWH43,1,turquoise
CX3CL1,CX3CL1,0,grey
CX3CR1,CX3CR1,1,turquoise
CXADR,CXADR,0,grey
CXCL1,CXCL1,1,turquoise
CXCL10,CXCL10,1,turquoise
CXCL11,CXCL11,1,turquoise
CXCL12,CXCL12,2,blue
CXCL13,CXCL13,6,red
CXCL14,CXCL14,1,turquoise
CXCL2,CXCL2,0,grey
CXCL3,CXCL3,0,grey
CXCL5,CXCL5,1,turquoise
CXCL6,CXCL6,4,yellow
CXCL8,CXCL8,1,turquoise
CXCL9,CXCL9,1,turquoise
CXCR1,CXCR1,0,grey
CXCR2,CXCR2,1,turquoise
CXCR3,CXCR3,1,turquoise
CXCR4,CXCR4,1,turquoise
CXCR5,CXCR5,6,red
CXCR6,CXCR6,1,turquoise
CXorf21,CXorf21,0,grey
CXorf36,CXorf36,0,grey
CXorf40A,CXorf40A,13,salmon
CXorf40A /// CXorf40B,CXorf40A /// CXorf40B,13,salmon
CXorf40B,CXorf40B,13,salmon
CXorf56,CXorf56,1,turquoise
CXorf57,CXorf57,1,turquoise
CXXC1,CXXC1,0,grey
CXXC4,CXXC4,0,grey
CYAT1,CYAT1,0,grey
CYAT1 /// IGLC1 /// IGLV1-44,CYAT1 /// IGLC1 /// IGLV1-44,7,black
CYB561,CYB561,1,turquoise
CYB561D2,CYB561D2,0,grey
CYB5A,CYB5A,1,turquoise
CYB5B,CYB5B,1,turquoise
CYB5R1,CYB5R1,0,grey
CYB5R2,CYB5R2,0,grey
CYB5R3,CYB5R3,0,grey
CYB5R4,CYB5R4,0,grey
CYBA,CYBA,1,turquoise
CYBB,CYBB,3,brown
CYBRD1,CYBRD1,0,grey
CYC1,CYC1,10,purple
CYCS,CYCS,0,grey
CYCSP19 /// RP11-3L10.1,CYCSP19 /// RP11-3L10.1,0,grey
CYCSP33 /// CYCSP33,CYCSP33 /// CYCSP33,0,grey
CYCSP44 /// GS1-103B18.1,CYCSP44 /// GS1-103B18.1,0,grey
CYFIP1,CYFIP1,1,turquoise
CYFIP2,CYFIP2,6,red
CYHR1,CYHR1,0,grey
CYLC1,CYLC1,0,grey
CYLC2,CYLC2,0,grey
CYLD,CYLD,0,grey
CYP11A1,CYP11A1,1,turquoise
CYP11B1,CYP11B1,0,grey
CYP11B2,CYP11B2,0,grey
CYP17A1,CYP17A1,0,grey
CYP19A1,CYP19A1,0,grey
CYP1A1,CYP1A1,1,turquoise
CYP1A2,CYP1A2,0,grey
CYP1B1,CYP1B1,0,grey
CYP20A1,CYP20A1,1,turquoise
CYP21A1P /// CYP21A2,CYP21A1P /// CYP21A2,1,turquoise
CYP24A1,CYP24A1,1,turquoise
CYP26A1,CYP26A1,1,turquoise
CYP26B1,CYP26B1,0,grey
CYP27A1,CYP27A1,0,grey
CYP27B1,CYP27B1,1,turquoise
CYP2A13,CYP2A13,0,grey
CYP2A6,CYP2A6,0,grey
CYP2A7,CYP2A7,0,grey
CYP2A7P1,CYP2A7P1,0,grey
CYP2B6,CYP2B6,0,grey
CYP2B6 /// CYP2B7P,CYP2B6 /// CYP2B7P,0,grey
CYP2B7P,CYP2B7P,0,grey
CYP2C18,CYP2C18,1,turquoise
CYP2C19,CYP2C19,1,turquoise
CYP2C8,CYP2C8,5,green
CYP2C9,CYP2C9,1,turquoise
CYP2D6,CYP2D6,1,turquoise
CYP2D6 /// CYP2D7P /// LOC101929829,CYP2D6 /// CYP2D7P /// LOC101929829,0,grey
CYP2E1,CYP2E1,1,turquoise
CYP2F1,CYP2F1,0,grey
CYP2J2,CYP2J2,1,turquoise
CYP2R1,CYP2R1,0,grey
CYP2U1,CYP2U1,0,grey
CYP2W1,CYP2W1,0,grey
CYP39A1,CYP39A1,0,grey
CYP3A4,CYP3A4,1,turquoise
CYP3A43,CYP3A43,1,turquoise
CYP3A5,CYP3A5,1,turquoise
CYP3A7-CYP3AP1,CYP3A7-CYP3AP1,1,turquoise
CYP3A7 /// CYP3A7-CYP3AP1,CYP3A7 /// CYP3A7-CYP3AP1,0,grey
CYP46A1,CYP46A1,0,grey
CYP4A11,CYP4A11,0,grey
CYP4A11 /// CYP4A22,CYP4A11 /// CYP4A22,0,grey
CYP4B1,CYP4B1,1,turquoise
CYP4F11,CYP4F11,1,turquoise
CYP4F12,CYP4F12,1,turquoise
CYP4F2,CYP4F2,0,grey
CYP4F2 /// CYP4F3,CYP4F2 /// CYP4F3,0,grey
CYP4F3,CYP4F3,0,grey
CYP4F8,CYP4F8,0,grey
CYP51A1 /// LRRD1,CYP51A1 /// LRRD1,0,grey
CYP7A1,CYP7A1,0,grey
CYP7B1,CYP7B1,0,grey
CYR61,CYR61,9,magenta
CYSLTR1,CYSLTR1,2,blue
CYSLTR2,CYSLTR2,0,grey
CYTH1,CYTH1,1,turquoise
CYTH2,CYTH2,0,grey
CYTH3,CYTH3,0,grey
CYTH4,CYTH4,0,grey
CYTIP,CYTIP,0,grey
CYTL1,CYTL1,0,grey
DAAM1,DAAM1,1,turquoise
DAAM2,DAAM2,2,blue
DAB1,DAB1,0,grey
DAB2 /// LOC101926921,DAB2 /// LOC101926921,8,pink
DACH1,DACH1,0,grey
DACT1,DACT1,8,pink
DAD1,DAD1,0,grey
DAG1,DAG1,0,grey
DAGLA,DAGLA,1,turquoise
DAK,DAK,0,grey
DALRD3,DALRD3,1,turquoise
DAO,DAO,0,grey
DAP,DAP,4,yellow
DAP3,DAP3,1,turquoise
DAPK1,DAPK1,0,grey
DAPK2,DAPK2,0,grey
DAPK3 /// MIR637,DAPK3 /// MIR637,0,grey
DAPP1,DAPP1,1,turquoise
DARS,DARS,0,grey
DARS2,DARS2,1,turquoise
DAXX,DAXX,1,turquoise
DAZ1 /// DAZ2 /// DAZ3 /// DAZ4,DAZ1 /// DAZ2 /// DAZ3 /// DAZ4,0,grey
DAZAP1,DAZAP1,1,turquoise
DAZAP2,DAZAP2,0,grey
DAZL,DAZL,0,grey
DBET /// DUX3 /// DUX4 /// DUX4L1 /// DUX4L2 /// DUX4L24 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8 /// LOC100133400 /// LOC100287823 /// LOC100288289 /// LOC100291626 /// LOC652301,DBET /// DUX3 /// DUX4 /// DUX4L1 /// DUX4L2 /// DUX4L24 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8 /// LOC100133400 /// LOC100287823 /// LOC100288289 /// LOC100291626 /// LOC652301,0,grey
DBET /// DUX4 /// DUX4L1 /// DUX4L2 /// DUX4L24 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8 /// LOC100288289 /// LOC100291626 /// LOC652301,DBET /// DUX4 /// DUX4L1 /// DUX4L2 /// DUX4L24 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8 /// LOC100288289 /// LOC100291626 /// LOC652301,1,turquoise
DBF4,DBF4,1,turquoise
DBF4B,DBF4B,0,grey
DBH,DBH,0,grey
DBI,DBI,1,turquoise
DBN1,DBN1,0,grey
DBNDD1,DBNDD1,1,turquoise
DBNDD2 /// SYS1 /// SYS1-DBNDD2,DBNDD2 /// SYS1 /// SYS1-DBNDD2,0,grey
DBP,DBP,0,grey
DBR1,DBR1,1,turquoise
DBT,DBT,0,grey
DCAF10,DCAF10,1,turquoise
DCAF11,DCAF11,1,turquoise
DCAF13,DCAF13,2,blue
DCAF15,DCAF15,1,turquoise
DCAF16,DCAF16,0,grey
DCAF17,DCAF17,0,grey
DCAF4,DCAF4,0,grey
DCAF6,DCAF6,0,grey
DCAF7,DCAF7,1,turquoise
DCAF8,DCAF8,0,grey
DCAKD,DCAKD,0,grey
DCBLD2,DCBLD2,0,grey
DCC,DCC,0,grey
DCHS1,DCHS1,0,grey
DCHS2,DCHS2,0,grey
DCK,DCK,1,turquoise
DCLK1,DCLK1,2,blue
DCLK2,DCLK2,0,grey
DCLRE1A,DCLRE1A,1,turquoise
DCLRE1B,DCLRE1B,1,turquoise
DCLRE1C,DCLRE1C,0,grey
DCN,DCN,0,grey
DCP1A,DCP1A,1,turquoise
DCP2,DCP2,0,grey
DCPS,DCPS,0,grey
DCSTAMP,DCSTAMP,3,brown
DCT,DCT,0,grey
DCTD,DCTD,0,grey
DCTN1,DCTN1,0,grey
DCTN1 /// SLC4A5,DCTN1 /// SLC4A5,0,grey
DCTN2,DCTN2,1,turquoise
DCTN3,DCTN3,1,turquoise
DCTN4,DCTN4,0,grey
DCTN5,DCTN5,0,grey
DCTN6,DCTN6,0,grey
DCTPP1,DCTPP1,1,turquoise
DCUN1D1,DCUN1D1,1,turquoise
DCUN1D2,DCUN1D2,0,grey
DCUN1D4,DCUN1D4,0,grey
DCX,DCX,1,turquoise
DCXR,DCXR,0,grey
DDA1,DDA1,0,grey
DDAH1,DDAH1,1,turquoise
DDAH2,DDAH2,1,turquoise
DDB1,DDB1,1,turquoise
DDB2,DDB2,0,grey
DDC,DDC,0,grey
DDHD2,DDHD2,0,grey
DDI2 /// RSC1A1,DDI2 /// RSC1A1,1,turquoise
DDIT3,DDIT3,1,turquoise
DDIT4,DDIT4,1,turquoise
DDN,DDN,0,grey
DDO,DDO,1,turquoise
DDOST,DDOST,1,turquoise
DDR1-AS1,DDR1-AS1,0,grey
DDR1 /// MIR4640,DDR1 /// MIR4640,1,turquoise
DDR2,DDR2,2,blue
DDRGK1,DDRGK1,13,salmon
DDT /// DDTL,DDT /// DDTL,0,grey
DDX1,DDX1,0,grey
DDX10,DDX10,1,turquoise
DDX11,DDX11,1,turquoise
DDX11 /// DDX12P /// LOC642846,DDX11 /// DDX12P /// LOC642846,1,turquoise
DDX17,DDX17,0,grey
DDX18,DDX18,1,turquoise
DDX19A,DDX19A,1,turquoise
DDX19A /// DDX19B,DDX19A /// DDX19B,0,grey
DDX21,DDX21,1,turquoise
DDX23,DDX23,1,turquoise
DDX24,DDX24,1,turquoise
DDX25,DDX25,0,grey
DDX27,DDX27,1,turquoise
DDX27 /// SS18,DDX27 /// SS18,1,turquoise
DDX28,DDX28,1,turquoise
DDX31,DDX31,1,turquoise
DDX39A,DDX39A,1,turquoise
DDX3X,DDX3X,0,grey
DDX3Y,DDX3Y,0,grey
DDX4,DDX4,0,grey
DDX41,DDX41,0,grey
DDX42,DDX42,0,grey
DDX43,DDX43,0,grey
DDX46,DDX46,0,grey
DDX49,DDX49,1,turquoise
DDX5 /// MIR3064 /// MIR5047,DDX5 /// MIR3064 /// MIR5047,0,grey
DDX50,DDX50,1,turquoise
DDX51,DDX51,0,grey
DDX52,DDX52,0,grey
DDX54,DDX54,1,turquoise
DDX56,DDX56,1,turquoise
